Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-WebLoginFacebook,Firefox 129.0,,,2024-09-05 23:27:03,2024-09-05 23:35:20,8m - 17.294s,PASSED
,,,,,,,
Test Cases/Web Facebook/LoginInvalidEmailOrPassword,Firefox 129.0,,,2024-09-05 23:27:04,2024-09-05 23:28:02,58.867s,PASSED
"openBrowser("""")",Firefox 129.0,,,2024-09-05 23:27:05,2024-09-05 23:27:21,15.865s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Firefox 129.0,,,2024-09-05 23:27:21,2024-09-05 23:27:23,2.586s,PASSED
"setText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), email)",Firefox 129.0,,,2024-09-05 23:27:23,2024-09-05 23:27:25,1.447s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""PNKhqrno+crZQceKVOcGnA=="")",Firefox 129.0,,,2024-09-05 23:27:25,2024-09-05 23:27:25,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Log in""))",Firefox 129.0,,,2024-09-05 23:27:25,2024-09-05 23:27:59,33.335s,PASSED
failedLogin = getUrl(),Firefox 129.0,,,2024-09-05 23:27:59,2024-09-05 23:27:59,0.047s,PASSED
"errorMessage = getText(findTestObject(""Object Repository/Page_1725545881244/errorMessage""))",Firefox 129.0,,,2024-09-05 23:27:59,2024-09-05 23:27:59,0.497s,PASSED
"borderColor = getCSSValue(findTestObject(""Object Repository/Page_1725545881244/borderEmail""), ""border-bottom-color"")",Firefox 129.0,,,2024-09-05 23:27:59,2024-09-05 23:28:00,0.411s,PASSED
"checkBorderColor = verifyEqual(borderColor, ""rgb(240, 40, 73)"")",Firefox 129.0,,,2024-09-05 23:28:00,2024-09-05 23:28:00,0.059s,PASSED
println(borderColor),Firefox 129.0,,,2024-09-05 23:28:00,2024-09-05 23:28:00,0.014s,PASSED
println(checkBorderColor),Firefox 129.0,,,2024-09-05 23:28:00,2024-09-05 23:28:00,0.002s,PASSED
println(failedLogin),Firefox 129.0,,,2024-09-05 23:28:00,2024-09-05 23:28:00,0.002s,PASSED
println(errorMessage),Firefox 129.0,,,2024-09-05 23:28:00,2024-09-05 23:28:00,0.002s,PASSED
"if (checkBorderColor == ""true"" && failedLogin.contains(""https://www.facebook.com/login/?privacy_mutation_token="") && errorMessage == ""The email address or mobile number you entered isn't connected to an account. Find your account and log in."")",Firefox 129.0,,,2024-09-05 23:28:00,2024-09-05 23:28:02,2.753s,PASSED
,,,,,,,
Test Cases/Web Facebook/LoginInvalidTigaKaliAtauLebih,Firefox 129.0,,,2024-09-05 23:28:02,2024-09-05 23:30:39,2m - 36.405s,PASSED
